0	110110.836639600	0.0247525246514752 0.951559586702562 0.0275075738550288 -0.305229420040791	-0.0153931611877353 0.96203119411518 0.109557033706435 -0.2495121009158	-0.0332061386753483 0.963118711414792 0.145672934721416 -0.223783592264119	-0.0509432608697548 0.962005684250363 0.181456057658076 -0.197543784465966	-0.0641719143367796 0.959728156338674 0.20802574073893 -0.17756441797596	-0.0782718026733942 0.986164229301764 0.144167978726523 -0.0238585762740483	-0.0567673425224479 0.996229497633703 0.045748163417222 -0.0470251253202989	-0.133043511266904 0.96209021649483 0.164659509144749 -0.171956638379899	-0.622540401706245 0.663356155619367 -0.215013649139121 -0.355205841350056	0.601887652493849 -0.33845558988529 0.443342562762544 0.571512414120624	0.070856450453821 -0.314605555571617 0.266449964139196 0.908299028097455	-0.0131989081608265 0.964670128683995 0.230435968284345 -0.127029902656904	0.437210077525622 0.778955638504721 0.441064877178249 -0.0868172533053133	0.347300564696804 0.0460009208764921 0.929515865124764 -0.115180247964471	0.645222116943757 0.396996227998248 0.547213306852839 -0.355865159245691	0.0738585002423603 0.973194142857246 0.104715809549001 -0.190978222530205	0.137961657070647 0.961448084255674 -0.17776633381729 -0.158061042071016	0.0218138443429329 0.96356714756116 -0.204117448800286 -0.171460127817212	0.0247799913710546 0.963269376969994 -0.203585136068355 -0.173352680370159	-0.0235643425601328 0.980089079710271 0.0732680589626523 -0.183035267443813	0.00177614035562246 0.986842318748196 -0.059514823865543 -0.150323215084609	0.117123311450646 0.97583394607383 -0.0354971848504832 -0.181025383503262	0.11377384836732 0.97584505661496 -0.03632412726305 -0.182927566775522
50	110110.885269000	0.0254363523557093 0.951418891015967 0.0308281164594025 -0.305294469377272	-0.0193315370443517 0.962342887443902 0.111809037968208 -0.247024690446645	-0.039185550129298 0.963470229535259 0.147424808848822 -0.220126180169983	-0.0589460016583046 0.962297320743066 0.182688596685804 -0.192702132889565	-0.0736765509153979 0.959909588884688 0.208854730047355 -0.171828544628903	-0.0886538254567248 0.985645014331075 0.14188045627157 -0.0226790891429556	-0.0691957168507414 0.995281219992796 0.0410751725373389 -0.0542224685918328	-0.133911513672946 0.961252487172068 0.168638018021085 -0.172112118368388	-0.613167347838211 0.647878376273089 -0.263762241971528 -0.367027100924378	0.615942335333523 -0.337848729328689 0.442289712822673 0.557542003409711	0.0104624157014781 -0.354114213993692 0.1708697605896 0.919400449326283	-0.0212068402025986 0.964067962663296 0.233662459926899 -0.124599711539687	0.421539978185095 0.781266794946733 0.45064700162886 -0.0940400012137767	0.390313125021391 0.00956526796179913 0.91914363565794 -0.0523368619078187	0.664293100657332 0.419772075661471 0.516747175266051 -0.339821184990703	0.0732398522056222 0.972922106581401 0.105988781378086 -0.191898089610336	0.137091902956297 0.961719470666207 -0.176924798658102 -0.158110991095247	0.0211771289028628 0.963753339902644 -0.202985277948861 -0.171837149574691	0.0213090749917684 0.963748600012661 -0.2029596433457 -0.171877696254102	-0.0253097088034489 0.980100204525366 0.0739908559589945 -0.182450982359853	0.00090780204921863 0.98701281651583 -0.0588673838513989 -0.149464066074159	0.115762237901372 0.976185885522345 -0.0346551674981445 -0.180164481928869	0.115972851362425 0.976131508304506 -0.034614764522714 -0.180331345913781
100	110110.944426500	0.0270979939927863 0.950825276654946 0.0360663775867031 -0.306424882154477	-0.017508062648845 0.961560074265021 0.11662940048985 -0.247978374587605	-0.0372972911021685 0.962626452045315 0.152042505999895 -0.221002946288872	-0.0569979668093045 0.961407050261697 0.187094638547204 -0.193502743426546	-0.0716872067026736 0.958993998954172 0.213096708644499 -0.172572440238688	-0.0878758733029819 0.985302367456198 0.144894042436895 -0.0215126019519942	-0.069679026799626 0.995490144615696 0.0413508052027447 -0.0493387890646092	-0.139200081954737 0.960331965559518 0.174389741856608 -0.167254509785454	-0.621996107497913 0.663599232093195 -0.201294819482483 -0.363644465202319	-0.460672081460362 0.545062881135282 -0.478819023101619 -0.511292511276563	-0.017860622444102 -0.33395299671364 0.128429932655066 0.933628484221697	-0.0258044666560874 0.962884336801954 0.237633920345631 -0.125371461438488	0.405016582245487 0.757947903997397 0.500114994766155 -0.106590501181791	0.374334978000954 -0.0112346760961884 0.926397286586803 -0.0391812927638717	0.717101739846214 0.246072209907362 0.465633052308454 -0.456507856250857	0.0734380846553304 0.97247461107755 0.104606937768958 -0.194826505132965	0.136371703394906 0.962481586700643 -0.172916195345247 -0.158530574851379	0.0163679036764279 0.964619458231176 -0.199842565002843 -0.171185109586422	0.0163886265762254 0.964611873961448 -0.199840240107605 -0.17122857228063	-0.0259862179343054 0.980504058427631 0.0722432845146703 -0.180879561385326	0.0012135354944485 0.986951846276923 -0.0602969531689876 -0.149294534061745	0.114522999994418 0.976524635579752 -0.0367152926594538 -0.178706759421804	0.11440082080913 0.976535021883692 -0.0367432875268347 -0.178722505730348
150	110110.985034200	0.0238760709210756 0.950858986985532 0.042632560546924 -0.305744312927374	-0.0257386163781038 0.959752232678484 0.130140045496486 -0.247541398666524	-0.0477173382535353 0.959520164618482 0.168534703237239 -0.220545149856567	-0.0695678958605729 0.95671076172094 0.206476671702522 -0.192956498505546	-0.0858363667574301 0.952916615825234 0.234574695143975 -0.171920777755859	-0.0972639127535634 0.982388432139202 0.158201228052529 -0.0206172529115783	-0.065546003159097 0.995885522859113 0.0415831497396099 -0.0467609718379826	-0.156513848606715 0.955796008448463 0.186868680954287 -0.164430841105629	0.673557736143527 -0.655323597961885 0.039250624474737 0.339603219233622	-0.496278478868397 0.541617103522019 -0.416227724991548 -0.5358293250027	-0.000637609063501345 -0.349808180485995 0.140278945273832 0.926258952902816	-0.03444764899538 0.9595078741817 0.250983902532291 -0.123146577425712	0.394439137372384 0.763443500138554 0.501743704617623 -0.0991213593616763	0.390390593040921 -0.00904214163427291 0.920265665475874 -0.0249905879496851	0.701444737418918 0.116484438014975 0.625950989136092 -0.320299883308111	0.0731675909155941 0.972111448592097 0.106225898765898 -0.19586192480204	0.137485555692593 0.963030920766985 -0.168741263946917 -0.158731072774643	0.015975517375273 0.965216135037862 -0.196241442286513 -0.17202293985534	0.0159652090964808 0.96523377371342 -0.196239262131118 -0.171927386357412	-0.0258117236899553 0.980330337931429 0.0780238765292707 -0.179439288180569	0.00302029235296711 0.987404334618728 -0.0566513799670461 -0.147696238808168	0.115625008994808 0.97632009106591 -0.0330582975457456 -0.17982515407857	0.115053299463297 0.976418171370048 -0.0331785841330562 -0.179637063146517
200	110111.045696000	0.0155015799872069 0.949103849201296 0.074653265097406 -0.305595278856661	-0.0383686696960608 0.954354079388098 0.163980634127929 -0.246670808917578	-0.062179780660381 0.952279391656875 0.203000092434514 -0.219291125160638	-0.0858140946851732 0.947496953720726 0.241442345353117 -0.191287892229735	-0.103383337907787 0.942141071262569 0.269829358380745 -0.169924114354316	-0.120506326361741 0.97553231914892 0.182876477368526 -0.0192643096945221	-0.0904586202276591 0.993539520596233 0.0524525859902124 -0.0441042544756758	-0.171384900710803 0.943724151767365 0.222397924315801 -0.174788742312936	-0.639391589275918 0.66163925028125 -0.0606430050544135 -0.38695519635799	0.456707559923022 -0.479834165268893 0.432696640510534 0.611515327559958	-0.0218570589036903 -0.363259104431635 0.118044628276483 0.923921294136397	-0.0579177868794593 0.949289589405893 0.28697871008613 -0.114621225634159	0.367328688503127 0.762215276831638 0.528189134081339 -0.0715104538193373	0.386387536537487 -0.0418126446008087 0.921090966919932 0.0234052348521188	0.709278013552928 0.200767618546644 0.593954328944481 -0.322234880113301	0.0700234065040837 0.970293227939383 0.116676698145763 -0.200035802961217	0.140426126488144 0.963188729078025 -0.159484501015999 -0.164659251523477	0.0147383515689848 0.966523213244631 -0.187873127840664 -0.17412451604432	0.014430502281718 0.966581438733011 -0.187921652095765 -0.173774381237047	-0.0283073781349126 0.980231421704615 0.0866945470640775 -0.175582196578784	0.00630078813026098 0.987903755008893 -0.0492033958327559 -0.146920035212331	0.118103395352319 0.976072009528325 -0.0266438967446904 -0.180624259134396	0.117388616243778 0.976177307950974 -0.0267986026133789 -0.18049823022936
250	110111.113399200	0.0142975871775269 0.948438084544852 0.0831940114053295 -0.305515196433964	-0.0400224517315053 0.952893142057159 0.171717729576582 -0.246791175950232	-0.0640274183823759 0.950509617488163 0.21034982216673 -0.219510612664215	-0.0878519256140936 0.945446988250569 0.248389060888766 -0.191611341012533	-0.105561449401153 0.939900178662198 0.276464779231282 -0.170328096319115	-0.123072534672065 0.974391426419149 0.18720680011492 -0.0191862794981425	-0.0921802863231375 0.993418123675398 0.0529515253695434 -0.0426539837257311	-0.172952439059704 0.941879464622897 0.227858800082091 -0.176155883155046	-0.631261929729592 0.661709249186133 -0.0723276421704069 -0.398017534530409	0.491196733035228 -0.420108254514229 0.410037138564082 0.643509416359004	-0.0301795469860213 -0.367884481616743 0.112721879265753 0.922520450214572	-0.0614013860246269 0.947055959925146 0.293788525101844 -0.114031491628398	0.362389111579834 0.75998232558724 0.535306987453805 -0.0674346037766999	0.38802324721805 -0.0508110727025271 0.919801983728884 0.0286444625990402	0.682402566151346 0.273102830255583 0.604605068508776 -0.306910887636699	0.0684549737414998 0.969523633985554 0.122233363828556 -0.200989662621372	0.140372588327104 0.963332875450512 -0.15689186667944 -0.166343769623146	0.0143589161859019 0.966852545684966 -0.185681310526108 -0.174678067741126	0.0142005835357767 0.966919588806758 -0.185697657526936 -0.174302129069106	-0.0293536354038337 0.979772755490748 0.0924935231975725 -0.175010456410882	0.00595859331873944 0.988134352944377 -0.0452517847889915 -0.146653577079696	0.117881798246904 0.976114258473484 -0.0229899468430493 -0.181042255816123	0.117280360747044 0.9762233197864 -0.0231156577700324 -0.180828684821083
300	110111.147968000	0.013817747420405 0.948147100835699 0.0871376350740082 -0.305341084013917	-0.0406132373790222 0.952273463849626 0.175273018827332 -0.246587071576319	-0.0646654334310869 0.949763532684396 0.213718704918184 -0.219298720630375	-0.0885360868781816 0.944587103356837 0.251564386811945 -0.19139468325993	-0.106279604189539 0.938963342942814 0.279490937846606 -0.170109676399067	-0.123927711951111 0.973848858733583 0.189441280689928 -0.019295691861675	-0.0925291612786912 0.993315491492358 0.0538475137386355 -0.0431640352437711	-0.17314421196686 0.94084885378996 0.231434539687407 -0.176812245119423	-0.628321046463292 0.661008594907516 -0.0776680822831949 -0.402800160159	0.504266731315383 -0.396246694031966 0.399984075544953 0.654764354915329	-0.0317999870123846 -0.369466540276866 0.112810561497635 0.921822658463353	-0.0626377842904232 0.946035233237998 0.296935199277476 -0.113680837794058	0.360377444763929 0.760269215970283 0.536440512169603 -0.0659575125104501	0.390498670840178 -0.0550735075105469 0.918408419718407 0.0316807738680419	0.673195728211207 0.308197548184969 0.598578440985101 -0.305819608264091	0.0677044858476929 0.969295282144496 0.123848570004821 -0.201356128082267	0.140363374181935 0.963347421596549 -0.156001959344721 -0.16710253490642	0.0141027365403318 0.96698642200114 -0.184693687051703 -0.175004612655654	0.014032503170634 0.967063459421887 -0.184689853381271 -0.17458812205801	-0.0297676771392357 0.979431298517436 0.0961506969659869 -0.174880703209752	0.00573523695140173 0.98825026474697 -0.043351527686912 -0.146455339035034	0.117625155563961 0.976138979929562 -0.0210542911183664 -0.181311145454802	0.117130783361581 0.976245245898547 -0.0211539684572132 -0.181047256450074
350	110111.178549800	0.0135059563053547 0.947939593240628 0.0903507961617859 -0.305065321437888	-0.0410196795602238 0.951730723976812 0.178339373572694 -0.246416482324234	-0.0651124908561611 0.949083334344871 0.216707346949247 -0.219178269409963	-0.0890228748387658 0.943777106935846 0.254468167346175 -0.191326035830793	-0.106795642137917 0.938061233128431 0.282326659313493 -0.170080778346055	-0.124815237643942 0.973333091942169 0.191471063184838 -0.0195622223955162	-0.0934058862181614 0.993169655386947 0.0545283733824464 -0.0437725088912848	-0.17315119853283 0.940005247023022 0.234881805022361 -0.176746529485788	-0.625360857123211 0.660265181810508 -0.0822313500692282 -0.407690683156546	0.514367802019111 -0.378018779870292 0.392330491919484 0.662272112821928	-0.0366427068475084 -0.372265178599754 0.109299190035423 0.920939539760663	-0.0634652303489866 0.945174097883049 0.299658285216485 -0.113238691836452	0.359810787080091 0.760070456834291 0.53727791639561 -0.0645099891653185	0.394311276689851 -0.0589262822912965 0.91647376050326 0.0334986065316079	0.664495273484745 0.332832515758759 0.59705686010821 -0.301979558526493	0.0674925254711333 0.969063528861005 0.125215880043139 -0.201696850302644	0.140434026283664 0.963332039920553 -0.155383867127655 -0.167706645547277	0.0138458575647666 0.967087191170952 -0.183983557824717 -0.175216173201947	0.0138745921189481 0.967159184106978 -0.183960917212358 -0.174839895989004	-0.0301482484010756 0.979160395928255 0.0988749462463665 -0.174813463922973	0.00555783512714698 0.988327017452622 -0.0421101290086623 -0.14630637059533	0.117347245838564 0.976169346276689 -0.0195677145069136 -0.181494175754545	0.117000717371858 0.976255884656723 -0.0196350080882745 -0.181244989627197
400	110111.241716900	0.0131386971181127 0.947493120838252 0.0955207406997843 -0.304893339872147	-0.0414256070266478 0.950887604317388 0.183317090579199 -0.245950253790458	-0.0655337534119502 0.94806677163156 0.221576645491665 -0.218582967919538	-0.0894582751413164 0.942589542801761 0.259215317977555 -0.190603225930998	-0.107240821287358 0.936747302977765 0.286973397321105 -0.169263598695877	-0.126324985879929 0.972504038974274 0.194672347527241 -0.0195081836518284	-0.0957801555240851 0.992853180631909 0.0553137565695881 -0.0448231173731266	-0.172686957703354 0.938999508776603 0.239706250798806 -0.176068311982703	-0.621554935140777 0.659807181876074 -0.0926651708948708 -0.411991640024312	0.532987171332053 -0.348180648431774 0.37746892984288 0.672467187494198	-0.0432634957100106 -0.378636028683601 0.102460416200706 0.918838881868654	-0.0645298055066968 0.943685707043268 0.304620765598527 -0.111800624728496	0.35913836235568 0.759553848054785 0.538795342108714 -0.0616211644778159	0.403175270805916 -0.0651522655170138 0.911993812932585 0.0383688477969004	0.646304052334603 0.375336521322309 0.594651232434645 -0.296316519049304	0.0668585620565017 0.968638024807831 0.127665621511831 -0.202414917088931	0.140321108206891 0.963367380291219 -0.154299592955321 -0.168596894384937	0.0134464130296735 0.967227860709894 -0.182811156360374 -0.175697298082185	0.0135349780022431 0.967304008733189 -0.182775503311562 -0.175307941772148	-0.0304935608423836 0.978888692712318 0.101781644493152 -0.174606892393714	0.00562756804840517 0.988301242348758 -0.0418008618422987 -0.146566274425608	0.117385628004177 0.976078292763148 -0.018582671622088 -0.182061706709649	0.117086210190281 0.976194676427859 -0.0186319278770636 -0.181624955225784
450	110111.308897100	0.0129471586235597 0.947216307942359 0.0988390177349318 -0.304703931095115	-0.0415167925030212 0.950404846830577 0.186514409561236 -0.245396328593628	-0.0655797267357339 0.947491600767125 0.224704924212512 -0.217868453319123	-0.0894588148247019 0.941921733191614 0.262265523007173 -0.189729714154741	-0.107207148147974 0.936010071152243 0.289959040270921 -0.168272187400998	-0.127153405890733 0.972089387144391 0.196181583423048 -0.0196728517824402	-0.0976598985442123 0.992632343606392 0.0542172916395093 -0.0469474166498259	-0.171797798787651 0.938582600001342 0.242573560541106 -0.175232094756781	-0.618292545289893 0.659233319452962 -0.102681972506664 -0.415430104210221	0.54806977531444 -0.328663940320782 0.363524985161623 0.677826763179824	-0.0497756100798326 -0.381060628645914 0.0919600259351038 0.918617733100758	-0.0651054710435405 0.942667323371991 0.308293119064623 -0.109977033167347	0.358272561654728 0.758202415798946 0.541623074693721 -0.0584321247373477	0.407653678119663 -0.0705981811688535 0.909206076491649 0.0466763966242113	0.631397717398347 0.410064067418255 0.590917000921297 -0.289830090050593	0.0663582430886475 0.968430993179274 0.128852240275742 -0.202817886784958	0.140236062988926 0.963273402763735 -0.154221484179499 -0.169274723401972	0.0131357282729435 0.967197122816999 -0.182429494687589 -0.176285727514426	0.0133032715914987 0.96729123499161 -0.18237373703174 -0.175813849609312	-0.0306866971440858 0.97877185305414 0.103472905305334 -0.174233590776937	0.00529392329830917 0.988377627424659 -0.041896489186005 -0.146035352488363	0.117873418674546 0.975891464619078 -0.0185549998646146 -0.182749605837141	0.117459528548832 0.976048822013893 -0.0186240245998374 -0.182167785039182
