0	121255.137817700	0.0136413222270301 0.984870009747406 0.155260260223413 -0.0757577047131264	-0.00246925162716041 0.996949794466468 0.0741897251779517 -0.0241017590165017	-0.00963110774833954 0.999235271546355 0.0378818421911484 -0.00103917920797574	-0.0167746003918539 0.999615546146731 0.00150173732681314 0.0220253823682501	-0.0221119731986515 0.998649890175245 -0.0257890260681877 0.0392986466521101	-0.0146299706210926 0.966440648409226 0.0213051109312529 0.255586637581442	0.00658613678940402 0.933197446232036 0.111621746720696 0.341525599051108	-0.0270074022763338 0.998672256090052 -0.0037899803469245 0.0437031027189068	-0.452004707011934 0.814231266353631 -0.266521106457362 -0.248366039433658	0.0214351883859148 -0.624627826043983 0.768126150590105 -0.139150380560229	-0.182709309313306 -0.393684603066164 0.900775826471023 0.0152529355973708	0.0495894922189018 0.997647600014293 -0.0435920208352777 0.0184359476753949	0.58528731026881 0.809797057273505 -0.0210914826590392 -0.0349662670114633	0.661485131115424 0.276942026686522 0.642141027555108 -0.27091592034881	0.618405275411522 0.265112803659633 0.679342165870108 -0.292889635101415	0.0182881547518048 0.99442336587624 0.103563951766359 0.00788800923416972	0.0426422155438173 0.989522812096527 -0.136267335585224 0.0213882922787015	0.0917834538501507 0.985570874870121 -0.116199714764109 -0.081996795643616	0.0916828344992455 0.985574197991213 -0.116202736722557 -0.0820651088487055	-0.0201817863334588 0.966214805170006 0.256813403294426 -0.00827778104402053	-0.0423976448543692 0.98072096606394 0.187269983299329 0.0363150077582884	-0.0283789796987824 0.989670438261864 0.0880061170224594 -0.109553550871052	-0.0283779884265372 0.989655153873086 0.0880032724264427 -0.109694075626439
50	121255.208007900	0.0138233710393397 0.984795350254666 0.156049974719038 -0.0750695538822815	-0.0019776798774837 0.996927424196417 0.0748015389645989 -0.023163105057999	-0.00900333025109999 0.999221453742175 0.0384112789814662 8.53066027741947E-06	-0.016011732906403 0.999601176768115 0.00194739232610893 0.0231801526367426	-0.0212486347920145 0.998629128999793 -0.0254067551108877 0.0405321480719295	-0.0135625116801158 0.965989799094779 0.0215200320647968 0.257325969427271	0.00804070953445624 0.932257741597415 0.111175521111866 0.344195952514515	-0.0265758782507532 0.998661396211473 -0.00320084118805927 0.0442593835004689	-0.449119515488891 0.816799806082838 -0.266021127421511 -0.245687804653487	0.031846148674284 -0.624111300114052 0.768374635989732 -0.138098974117152	-0.175898660666303 -0.393566284504891 0.901973831134958 0.0246667554522773	0.0501781824306725 0.997617470435143 -0.043071427723593 0.0196566732788761	0.585605377382976 0.809591654352623 -0.0216666574093903 -0.0340330888905066	0.661558170566425 0.276759586715652 0.641629795592712 -0.272132547714237	0.618972073669422 0.264197851085681 0.678556527246387 -0.294336723550439	0.0183045196319134 0.994310087266957 0.104631933394726 0.00803451518780483	0.0426576797357262 0.989647548318326 -0.135303191124802 0.0217048137180882	0.0919650020007862 0.985585735331941 -0.115973264801274 -0.0819353316251695	0.0918323283650927 0.985592290919667 -0.115977112697868 -0.0819998102255963	-0.0204593601609089 0.966010566366729 0.257572918494794 -0.00782252566072336	-0.0423646042108858 0.980599411800183 0.187882613221289 0.036471324850206	-0.0282211628236634 0.989537507090862 0.0893643776690405 -0.109695469519519	-0.028302604960668 0.989536577974566 0.0893628454929488 -0.109684115751686
100	121255.237099600	0.0139054255284524 0.984670741134088 0.156933891972361 -0.0748460035387716	-0.00180677450454795 0.996887522342559 0.0754581231707599 -0.0227612611941728	-0.00879343581618358 0.999201839725862 0.0389630570510974 0.000489040113539533	-0.0157631558451052 0.999591059089185 0.00239286570161579 0.0237384013888397	-0.0209712474958781 0.998619035180985 -0.0250416343472924 0.0411478541588923	-0.0134758592483001 0.965735218710304 0.0221041232984703 0.258234963344022	0.00795326001766244 0.931616469877504 0.112096152725019 0.345632682558116	-0.0266357162098785 0.998641501819503 -0.0033811460936478 0.0446571082445676	-0.449330545269006 0.817249661862671 -0.265430632049166 -0.244441467111428	0.034307867275334 -0.623559440925143 0.768793496390078 -0.13767045356379	-0.176380716718105 -0.39429086753105 0.901464810855974 0.0280312208086348	0.0506617223610799 0.997589586207415 -0.0429291200681123 0.0201369816036505	0.586104163626396 0.809226556656896 -0.0219395175473133 -0.0339550725344163	0.661488978005461 0.276396339895313 0.641497481454205 -0.272980542452528	0.61922591999762 0.263547252065288 0.678114736047009 -0.295402286192632	0.018268087054796 0.994205433777999 0.105618542826931 0.00815817704978401	0.042719204944957 0.989748992237209 -0.134533868150505 0.0217402901260013	0.0919852369620031 0.98567193317113 -0.115288809000769 -0.0818415961410527	0.091877533263191 0.985671685981957 -0.115292215620423 -0.0819606695451654	-0.0205247295485221 0.965706242741154 0.258714063457092 -0.00756449451331755	-0.042445069663423 0.980492444539726 0.188361488672516 0.0367822218857646	-0.0282675362693147 0.989554672443506 0.0891127540023077 -0.109733375563736	-0.0282860051842735 0.989558399515151 0.0891131405945096 -0.109694685528114
150	121255.303287600	0.0140719578375818 0.984456384710787 0.158517540902711 -0.0742953284597491	-0.00164593369103196 0.996792734250436 0.0768999270883613 -0.0220892974453461	-0.00863564803080833 0.999148116828415 0.0403360159759612 0.0012132751159709	-0.0156086561448217 0.999570813960186 0.00369406530229586 0.0245134986051785	-0.0208193343712854 0.998618878635247 -0.0237959664739168 0.0419600110723294	-0.0136495620867354 0.965382241822147 0.0236570581069168 0.259405397459288	0.00767150727035914 0.930689288570392 0.114172163186714 0.347452605789345	-0.0271558524093011 0.998576764046384 -0.00325121517579111 0.0457868494925892	-0.454477674985198 0.814932814106621 -0.264344106882842 -0.243837537283791	0.0434886381513089 -0.626172912463809 0.766940302001392 -0.133487060100779	-0.175705729740357 -0.403157629682832 0.897415544158016 0.0351676451941299	0.051251355731925 0.997575992913309 -0.0422014398939374 0.0208440727676862	0.587174825123856 0.80845819995358 -0.0225008850373129 -0.0333882290803943	0.661881803838615 0.275669256680122 0.640799643829064 -0.274398897842747	0.620014337006119 0.262438404700513 0.677186081152238 -0.296862454916056	0.0181898962036167 0.994009770357865 0.107424437920382 0.00858453532210335	0.0428882053899236 0.989883898452632 -0.13347219945806 0.0218092043522432	0.0917701879605547 0.985780211219616 -0.114612184595191 -0.0817291558246628	0.0918580815805488 0.985762314474594 -0.114610414214921 -0.0818486723381431	-0.0206913820658632 0.965371258886862 0.259965260621271 -0.00694712123930935	-0.0424270219504581 0.980422664883479 0.188633380288297 0.0372665242839012	-0.0283364138018678 0.989512754036843 0.0894665054538959 -0.109805745082579	-0.0282503255092941 0.989517487974435 0.0894687414213927 -0.10978344324102
200	121255.338935700	0.0140902070280517 0.984418787470029 0.158934331161435 -0.0738985474837702	-0.00172967925537189 0.996762714403214 0.0773730231077289 -0.0217833578766398	-0.00876451453358176 0.999126446378551 0.0408331229063228 0.00147766900116973	-0.0157824230902878 0.999560549463386 0.00421440357059576 0.0247358420191705	-0.0210265897513969 0.998619164391089 -0.0232588917350595 0.0421505751980541	-0.0139843782026716 0.965298550160031 0.0242012341984384 0.259648698222231	0.00728868544333216 0.930486191503349 0.114801121159762 0.347797390827711	-0.0276616379212102 0.99854081173209 -0.00346241635372554 0.0462503271980734	-0.458026364195461 0.813128069447961 -0.263926993522573 -0.243674238416487	0.0487752529323654 -0.628504399725647 0.765110485036421 -0.131183611454402	-0.173881364348206 -0.406811404793097 0.895936262776603 0.0395975391226288	0.0513405009514439 0.997579761466378 -0.0419399299460903 0.0209717607953312	0.587690715448539 0.808097645002585 -0.0224477024743881 -0.0330744579771576	0.662179820999904 0.275380792918907 0.640506009985719 -0.274654973965635	0.620204997771997 0.262305912753607 0.676852548978229 -0.297341547407707	0.0181289493019844 0.993992015936559 0.107580265678154 0.00881475400673849	0.0430188334397302 0.989878476320252 -0.13345789585822 0.0218854316950299	0.0915864184796514 0.985838547740787 -0.114286933899906 -0.0816871010512936	0.0917715622447073 0.985813277072768 -0.114282509408346 -0.0817904099118361	-0.0208351744233556 0.965416785400553 0.259792536026472 -0.00664561498625593	-0.0423203693793641 0.980518768436079 0.188115781340823 0.0374751102829738	-0.0284198731428875 0.98957130218828 0.0888421112967683 -0.1097635092199	-0.0282811392755898 0.989572941223207 0.0888446185703985 -0.109782534636459
250	121255.403106800	0.0139415124954815 0.984548533792962 0.158627402638345 -0.0728502983362498	-0.00200450193316989 0.996803386061999 0.0770498103926411 -0.0210313629085373	-0.00909459813285153 0.999135766854492 0.0405045405578411 0.0020952019200264	-0.0161671753343579 0.99954370838118 0.00388115937685915 0.0252177334270659	-0.0214519158445649 0.998586135242562 -0.0235951049036921 0.04253018730861	-0.0145415917720168 0.965247432409554 0.023865527309701 0.259839128965847	0.00641418733191105 0.93056049107161 0.114661502471114 0.347661862315241	-0.0289415766105079 0.998481490574702 -0.00487582541131796 0.0466189280183247	-0.461556503413498 0.812035646279674 -0.26078718004725 -0.244036370344384	0.0568311903103346 -0.629345979641046 0.764664482972321 -0.126420260236382	-0.165182765963391 -0.406855810358267 0.89723442558238 0.0464046221432504	0.05124450251567 0.997562391687278 -0.0423612372866808 0.0211849292805114	0.588049315778873 0.807834776631721 -0.0224422570149291 -0.0331258354830694	0.662456498126702 0.275321823404179 0.640294742030863 -0.274539477989478	0.619887030352785 0.262402931780346 0.676972615045254 -0.297645509746534	0.0182613782413673 0.994028724323305 0.10714920174862 0.00961591646914294	0.0434235433495993 0.989755043769186 -0.134224996276812 0.021977251668759	0.0912023582826991 0.985807314926607 -0.114835201533636 -0.0817248075531357	0.0915038260144568 0.985780238641916 -0.114827266387784 -0.0817255763008922	-0.0210860986267212 0.965839278966813 0.258211332233989 -0.0060639554352361	-0.0420881026203212 0.980705375195362 0.187138883295603 0.0377438344583683	-0.0283727805020712 0.989532841216048 0.0893350562453093 -0.109722327751117	-0.0283128622808083 0.989527885373248 0.0893350625309086 -0.109782478113833
300	121255.434807800	0.0137968347182806 0.984679587905884 0.158075685490563 -0.0723037631796769	-0.00216891697404443 0.996839595224601 0.0767016286684212 -0.0205664131832459	-0.00926726842096659 0.999143511131562 0.0402492430696139 0.00252196987117768	-0.0163478505794104 0.999531524901192 0.00371967440814891 0.0256055176168983	-0.021638452631964 0.998564639900665 -0.0236859689234547 0.0428883688650748	-0.0145409107627608 0.965203223835801 0.0234397842570706 0.260042064145682	0.00662711766691188 0.930702414009248 0.113647480965872 0.347610914585401	-0.0293785974209856 0.998462270611727 -0.0050074029612386 0.0467431074494807	-0.459432327564927 0.813957696173254 -0.259220332466388 -0.243309729490246	0.0582779472000726 -0.626823794497945 0.766816278358342 -0.125253370278028	-0.163071969509478 -0.403465419776749 0.898983999796944 0.0495071299285284	0.0510687561360069 0.997558245255634 -0.0425291061030741 0.021466359805385	0.587830128273064 0.807976752911497 -0.0230422469982642 -0.0331415434513469	0.662676522859696 0.275697521241432 0.639871849954971 -0.274617403795019	0.61975255769106 0.262910471208771 0.676707069973509 -0.298081184934641	0.0183490225219127 0.994105325230859 0.106377271025129 0.0100891986492894	0.0436791076747462 0.989680382790972 -0.134666313475814 0.0221327695123348	0.0910704558544312 0.985748024492559 -0.115439312948937 -0.0817359731413308	0.0913616122757542 0.985723310450642 -0.115431502849494 -0.0817201271811848	-0.0211704421794555 0.966077410233213 0.257317894325763 -0.00580956751998591	-0.0417840165478617 0.980855050152806 0.1864162972644 0.0377681170446204	-0.0283733787321264 0.989656824225634 0.0881737226564579 -0.109543216475776	-0.0283323933054951 0.989641346393045 0.0881714611366417 -0.109695371096384
350	121255.504994400	0.0134533484749103 0.984829214255482 0.157658718716283 -0.0712331002868993	-0.00246179984516829 0.99685290426801 0.0767436439529941 -0.0197139520840726	-0.00953670355211211 0.999128727389832 0.0404983977435946 0.00327370889609082	-0.0165935144624908 0.999508819260814 0.00417638161847839 0.0262551582400955	-0.0218661891827181 0.998549247370544 -0.0230741744077627 0.0434609344324966	-0.0141198966435795 0.96493526048738 0.0229740597450465 0.261099146237128	0.00807866830160636 0.930263291856048 0.11108586209208 0.349578137455534	-0.0303650970341917 0.998442605652198 -0.00461230940693779 0.0465730684246694	-0.452963247555529 0.819311505823078 -0.256687909629287 -0.240133858170845	0.0612643869351352 -0.619727144563309 0.772864618790149 -0.121923017544792	-0.158980383862728 -0.396966174256095 0.902331125660878 0.0542368298014598	0.0509285194669678 0.997563556443953 -0.0422598614118717 0.0220757983603006	0.587505182498657 0.808202725591897 -0.0239699172851673 -0.032733132272833	0.662634472313953 0.277282210310019 0.639272147957643 -0.27452004078468	0.619356164820586 0.264929656315183 0.676410357639412 -0.29779060828303	0.0184039324888899 0.994213396322876 0.105280991672768 0.0108134468822088	0.044113390105375 0.989667722155684 -0.134543746227829 0.0225785049897585	0.0909003405733311 0.98586197898463 -0.114783761802094 -0.0814737657330365	0.0911033224579677 0.98583002587249 -0.114779191925271 -0.0816399523906486	-0.0213946402097976 0.966483522343197 0.255783526218676 -0.00516315063883336	-0.0414113528027933 0.98102258570595 0.185565905979053 0.0380142174985553	-0.0281690589232339 0.989759005743845 0.087515504798513 -0.109200050770114	-0.0282252291819615 0.989728393493084 0.0875088559759564 -0.10946800298263
400	121255.535639700	0.01334469761442 0.98482941479274 0.157856042913265 -0.070812516692568	-0.00260903199289465 0.996835538058605 0.0770453456156953 -0.0193937550368675	-0.00970064814573868 0.999112044955323 0.040846428982102 0.00354799804899268	-0.0167739094007754 0.999498073020686 0.00457018627436499 0.026483039643656	-0.0220587569741548 0.998546393134068 -0.02264635452053 0.0436538042629629	-0.0140332461695271 0.964758538169971 0.0229619928355329 0.261757097162823	0.00867382461876342 0.929794864622481 0.110228584407129 0.351078244366901	-0.0311513164798531 0.998433646761657 -0.00459644966256916 0.0462463095423827	-0.450684435534257 0.821408493696291 -0.254512248074699 -0.239572831578878	0.0637830379704918 -0.616328236905823 0.775829975473406 -0.118991922485306	-0.15767934923167 -0.394274942273566 0.903401872670705 0.05957809308895	0.0509983170757836 0.997560424667559 -0.0420524390836668 0.0224491238054253	0.587512881517863 0.808208091779439 -0.0240686422232896 -0.0323881906617653	0.662595715525791 0.277835978789728 0.639132188630845 -0.274379540259044	0.619459021708683 0.2653173187582 0.676418154786086 -0.297213257891482	0.0184549610564049 0.99417955701301 0.10554820990936 0.011224892638721	0.0443217332427761 0.989738523615561 -0.133930298168553 0.0227137417905592	0.0908136760982835 0.985917667712842 -0.114467164066839 -0.0813418531610972	0.0909979762391519 0.985884538096928 -0.114463270529297 -0.0815426609911761	-0.0214289261900048 0.966413854164673 0.256050872831194 -0.00479730375405214	-0.0411305621828919 0.981050536033803 0.185451814217068 0.0381542554101864	-0.0280678941593588 0.989776216549768 0.0875549401654175 -0.109038373623764	-0.0281916968073355 0.989742859516796 0.0875466454904022 -0.109315530141041
450	121255.599809300	0.013245314938618 0.98477407649691 0.158579765454153 -0.0699788388038844	-0.00280842560738773 0.996782368449658 0.0779086825179473 -0.0186349102980566	-0.00994393216062102 0.99906863805994 0.0417700076051662 0.00427096276097201	-0.0170606775626447 0.99946983951447 0.00555253793751609 0.0271687781189101	-0.0223778438849616 0.998533077674101 -0.0216211231921469 0.0443108556186585	-0.0139741805815906 0.964413480360812 0.0233930313726772 0.262990736069951	0.00956313119740592 0.929002510216853 0.109511197196781 0.353369750008422	-0.0325529265805948 0.998385294164563 -0.00413181815678703 0.0463685178294141	-0.449196747242164 0.824203878474311 -0.247287437351771 -0.240331380187766	0.0681546366608465 -0.61055793498485 0.781340014564647 -0.109916946686032	-0.155179382652155 -0.39150122924998 0.904291327677351 0.0700238629538918	0.0509832261619106 0.997558844212003 -0.0414917618111537 0.0235689772018844	0.587706269870494 0.808081543568542 -0.0246604312824394 -0.0315819953099377	0.663106080465462 0.278267110894679 0.638549384663762 -0.274066459804171	0.619615175109088 0.265939158930964 0.676132614690829 -0.296981625480378	0.0186274220382615 0.994069941238553 0.106479692778753 0.0118341074834926	0.0446713503376569 0.989849313796875 -0.132939134805852 0.023021574054314	0.0906776554937856 0.986026269745142 -0.113783291514245 -0.0811364328696798	0.0908122897953586 0.985997732128213 -0.113780649717903 -0.0813361174996539	-0.0216007189596505 0.96630428069504 0.256462167841406 -0.00407461862670001	-0.0407998609934475 0.981072269020333 0.185336694693505 0.0385082316173603	-0.0278240850004086 0.9896731238137 0.0890669731456138 -0.108811775968415	-0.0280228374841885 0.989641022669036 0.0890576968711029 -0.109060045194997
